nu_cm-1,alpha
1900.000,2.295903e-06
1900.050,3.099981e-06
1900.100,4.468666e-06
1900.150,7.095089e-06
1900.200,1.322494e-05
1900.250,3.468131e-05
1900.300,1.716273e-04
1900.350,6.921161e-04
1900.400,6.201741e-05
1900.450,1.931823e-05
1900.500,9.352121e-06
1900.550,5.560784e-06
1900.600,3.733334e-06
1900.650,2.724835e-06
1900.700,2.125802e-06
1900.750,1.771934e-06
1900.800,1.624231e-06
1900.850,1.859011e-06
1900.900,4.698346e-06
1900.950,1.082373e-05
1901.000,2.060907e-06
1901.050,1.108358e-06
1901.100,8.388647e-07
1901.150,7.111278e-07
1901.200,6.346886e-07
1901.250,5.832792e-07
1901.300,5.466541e-07
1901.350,5.200064e-07
1901.400,5.008077e-07
1901.450,4.876577e-07
1901.500,4.798096e-07
1901.550,4.769657e-07
1901.600,4.792047e-07
1901.650,4.869969e-07
1901.700,5.013069e-07
1901.750,5.238319e-07
1901.800,5.575083e-07
1901.850,6.076619e-07
1901.900,6.850004e-07
1901.950,8.152518e-07
1902.000,1.082344e-06
1902.050,1.974167e-06
1902.100,1.219978e-05
1902.150,3.544631e-06
1902.200,2.489918e-06
1902.250,3.433178e-06
1902.300,6.478567e-06
1902.350,1.914641e-05
1902.400,1.824697e-04
1902.450,5.032816e-05
1902.500,1.077122e-05
1902.550,6.519212e-06
1902.600,3.325275e-06
1902.650,1.831165e-06
1902.700,1.286075e-06
1902.750,9.900364e-07
1902.800,8.068068e-07
1902.850,6.847802e-07
1902.900,5.994403e-07
1902.950,5.377876e-07
1903.000,4.928077e-07
1903.050,4.628973e-07
1903.100,4.782906e-07
1903.150,4.788169e-07
1903.200,3.971844e-07
1903.250,3.756318e-07
1903.300,3.621705e-07
1903.350,3.521564e-07
1903.400,3.444020e-07
1903.450,3.383762e-07
1903.500,3.337659e-07
1903.550,3.303620e-07
1903.600,3.280175e-07
1903.650,3.266278e-07
1903.700,3.261208e-07
1903.750,3.264519e-07
1903.800,3.276012e-07
1903.850,3.295758e-07
1903.900,3.324161e-07
1903.950,3.362128e-07
1904.000,3.411487e-07
1904.050,3.476095e-07
1904.100,3.565319e-07
1904.150,3.708040e-07
1904.200,4.037786e-07
1904.250,5.971599e-07
1904.300,7.744334e-07
1904.350,4.470041e-07
1904.400,4.245380e-07
1904.450,4.299069e-07
1904.500,4.432875e-07
1904.550,4.613381e-07
1904.600,4.835199e-07
1904.650,5.101705e-07
1904.700,5.421276e-07
1904.750,5.807238e-07
1904.800,6.279611e-07
1904.850,6.868937e-07
1904.900,7.623923e-07
1904.950,8.627478e-07
1905.000,1.003380e-06
1905.050,1.216617e-06
1905.100,1.582612e-06
1905.150,2.356792e-06
1905.200,4.788794e-06
1905.250,2.450892e-05
1905.300,2.897274e-05
1905.350,5.825551e-06
1905.400,3.765875e-06
1905.450,3.747501e-06
1905.500,4.550000e-06
1905.550,6.293856e-06
1905.600,9.910499e-06
1905.650,1.869787e-05
1905.700,4.944954e-05
1905.750,3.140662e-04
1905.800,4.070003e-04
1905.850,5.467422e-05
1905.900,1.984763e-05
1905.950,1.023012e-05
1906.000,6.291899e-06
1906.050,4.326129e-06
1906.100,3.349786e-06
1906.150,3.248592e-06
1906.200,2.033832e-06
1906.250,1.645630e-06
1906.300,1.392140e-06
1906.350,1.208845e-06
1906.400,1.071452e-06
1906.450,9.665255e-07
1906.500,8.857236e-07
1906.550,8.236636e-07
1906.600,7.769147e-07
1906.650,7.435410e-07
1906.700,7.230767e-07
1906.750,7.172778e-07
1906.800,7.352149e-07
1906.850,8.413523e-07
1906.900,8.805259e-07
1906.950,1.196257e-06
1907.000,2.957275e-06
1907.050,1.574725e-05
1907.100,2.206485e-06
1907.150,1.227374e-06
1907.200,1.101687e-06
1907.250,1.235171e-06
1907.300,2.158032e-06
1907.350,3.682807e-06
1907.400,2.110123e-06
1907.450,2.502869e-06
1907.500,3.689320e-06
1907.550,6.743075e-06
1907.600,1.750659e-05
1907.650,1.134265e-04
1907.700,1.192654e-04
1907.750,1.787745e-05
1907.800,6.780626e-06
1907.850,3.629898e-06
1907.900,2.321021e-06
1907.950,1.655270e-06
1908.000,1.271138e-06
1908.050,1.029582e-06
1908.100,8.679274e-07
1908.150,7.545604e-07
1908.200,6.721413e-07
1908.250,6.105234e-07
1908.300,5.634614e-07
1908.350,5.269637e-07
1908.400,4.984248e-07
1908.450,4.761721e-07
1908.500,4.592975e-07
1908.550,4.478736e-07
1908.600,4.444294e-07
1908.650,4.634403e-07
1908.700,6.599499e-07
1908.750,8.808964e-07
1908.800,4.627164e-07
1908.850,4.164233e-07
1908.900,4.027166e-07
1908.950,3.970008e-07
1909.000,3.946659e-07
1909.050,3.943484e-07
1909.100,3.955365e-07
1909.150,3.980199e-07
1909.200,4.017232e-07
1909.250,4.066478e-07
1909.300,4.128497e-07
1909.350,4.204342e-07
1909.400,4.295593e-07
1909.450,4.404464e-07
1909.500,4.533985e-07
1909.550,4.688311e-07
1909.600,4.873202e-07
1909.650,5.096803e-07
1909.700,5.370952e-07
1909.750,5.713464e-07
1909.800,6.152317e-07
1909.850,6.733844e-07
1909.900,7.539976e-07
1909.950,8.728260e-07
1910.000,1.063690e-06
1910.050,1.411140e-06
1910.100,2.180554e-06
1910.150,4.597700e-06
1910.200,2.163861e-05
1910.250,4.914015e-05
1910.300,6.723535e-06
1910.350,3.017741e-06
1910.400,2.274789e-06
1910.450,2.558355e-06
1910.500,6.344080e-06
1910.550,1.631274e-05
1910.600,3.328467e-06
1910.650,2.327509e-06
1910.700,2.286952e-06
1910.750,2.539454e-06
1910.800,3.018041e-06
1910.850,3.788701e-06
1910.900,5.035421e-06
1910.950,7.177529e-06
1911.000,1.127079e-05
1911.050,2.058809e-05
1911.100,4.976197e-05
1911.150,2.430611e-04
1911.200,9.136699e-04
1911.250,9.162226e-05
1911.300,3.062696e-05
1911.350,1.470799e-05
1911.400,8.766872e-06
1911.450,5.884065e-06
1911.500,4.295560e-06
1911.550,3.315420e-06
1911.600,2.649330e-06
1911.650,2.266706e-06
1911.700,2.001429e-06
1911.750,1.738540e-06
1911.800,1.669173e-06
1911.850,1.855741e-06
1911.900,3.272866e-06
1911.950,2.111445e-05
1912.000,3.739295e-06
1912.050,3.607595e-06
1912.100,2.768805e-06
1912.150,1.312683e-06
1912.200,1.083106e-06
1912.250,1.009749e-06
1912.300,9.919124e-07
1912.350,1.008746e-06
1912.400,1.057123e-06
1912.450,1.142093e-06
1912.500,1.276525e-06
1912.550,1.485323e-06
1912.600,1.816566e-06
1912.650,2.369709e-06
1912.700,3.375846e-06
1912.750,5.475223e-06
1912.800,1.102017e-05
1912.850,3.472089e-05
1912.900,3.514714e-04
1912.950,6.842036e-05
1913.000,1.569272e-05
1913.050,6.876748e-06
1913.100,4.025673e-06
1913.150,3.545067e-06
