nu_cm-1,alpha_line1,alpha_line2,alpha_total,transmittance
7185.200,4.469956e-04,1.166685e-03,1.613680e-03,9.983876e-01
7185.201,4.492572e-04,1.172591e-03,1.621848e-03,9.983795e-01
7185.202,4.515361e-04,1.178542e-03,1.630078e-03,9.983713e-01
7185.203,4.538324e-04,1.184538e-03,1.638370e-03,9.983630e-01
7185.204,4.561462e-04,1.190580e-03,1.646726e-03,9.983546e-01
7185.205,4.584778e-04,1.196669e-03,1.655146e-03,9.983462e-01
7185.206,4.608272e-04,1.202804e-03,1.663631e-03,9.983378e-01
7185.207,4.631948e-04,1.208987e-03,1.672181e-03,9.983292e-01
7185.208,4.655807e-04,1.215217e-03,1.680798e-03,9.983206e-01
7185.209,4.679850e-04,1.221496e-03,1.689481e-03,9.983119e-01
7185.210,4.704080e-04,1.227823e-03,1.698232e-03,9.983032e-01
7185.211,4.728499e-04,1.234200e-03,1.707050e-03,9.982944e-01
7185.212,4.753108e-04,1.240627e-03,1.715938e-03,9.982855e-01
7185.213,4.777910e-04,1.247104e-03,1.724895e-03,9.982766e-01
7185.214,4.802907e-04,1.253632e-03,1.733923e-03,9.982676e-01
7185.215,4.828100e-04,1.260211e-03,1.743021e-03,9.982585e-01
7185.216,4.853492e-04,1.266843e-03,1.752192e-03,9.982493e-01
7185.217,4.879084e-04,1.273526e-03,1.761435e-03,9.982401e-01
7185.218,4.904879e-04,1.280263e-03,1.770751e-03,9.982308e-01
7185.219,4.930880e-04,1.287054e-03,1.780142e-03,9.982214e-01
7185.220,4.957088e-04,1.293898e-03,1.789607e-03,9.982120e-01
7185.221,4.983505e-04,1.300797e-03,1.799148e-03,9.982025e-01
7185.222,5.010134e-04,1.307752e-03,1.808765e-03,9.981929e-01
7185.223,5.036977e-04,1.314763e-03,1.818460e-03,9.981832e-01
7185.224,5.064036e-04,1.321830e-03,1.828233e-03,9.981734e-01
7185.225,5.091313e-04,1.328954e-03,1.838085e-03,9.981636e-01
7185.226,5.118812e-04,1.336136e-03,1.848017e-03,9.981537e-01
7185.227,5.146534e-04,1.343377e-03,1.858030e-03,9.981437e-01
7185.228,5.174481e-04,1.350676e-03,1.868124e-03,9.981336e-01
7185.229,5.202657e-04,1.358035e-03,1.878301e-03,9.981235e-01
7185.230,5.231063e-04,1.365455e-03,1.888561e-03,9.981132e-01
7185.231,5.259703e-04,1.372935e-03,1.898906e-03,9.981029e-01
7185.232,5.288579e-04,1.380477e-03,1.909335e-03,9.980925e-01
7185.233,5.317692e-04,1.388082e-03,1.919851e-03,9.980820e-01
7185.234,5.347047e-04,1.395749e-03,1.930454e-03,9.980714e-01
7185.235,5.376646e-04,1.403481e-03,1.941145e-03,9.980607e-01
7185.236,5.406491e-04,1.411276e-03,1.951925e-03,9.980500e-01
7185.237,5.436585e-04,1.419137e-03,1.962795e-03,9.980391e-01
7185.238,5.466931e-04,1.427064e-03,1.973757e-03,9.980282e-01
7185.239,5.497531e-04,1.435057e-03,1.984810e-03,9.980172e-01
7185.240,5.528389e-04,1.443118e-03,1.995956e-03,9.980060e-01
